SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,38:06.7,0:17,60,0,38:06.8,1540931887,-0.591281417,-0.267738237,-0.328942473,0.016555786,-0.077102661,-1.050872803,42.32926941,28.99732971,-72.64726257,,,,,,,,
0,38:06.7,0:17,60,0,38:06.8,1540931887,-0.099145493,0.155606905,-0.266428761,0.029464722,-0.098129272,-1.065933228,42.41101074,29.21444702,-72.55667114,,,,,,,,
0,38:06.7,0:17,60,0,38:06.8,1540931887,0.336541536,0.29406465,-0.233166145,0.075881958,-0.09703064,-1.096328735,42.29388428,28.84837341,-72.88890076,,,,,,,,
0,38:06.7,0:17,60,0,38:06.8,1540931887,0.589998838,0.229894452,-0.211889086,0.126052856,-0.117553711,-1.097351074,42.29388428,28.84837341,-72.88890076,,,,,,,,
0,38:06.7,0:17,60,0,38:06.8,1540931887,0.63549282,0.143873549,-0.177738572,0.132949829,-0.148406982,-1.033554077,42.17933655,28.48252869,-72.90875244,,,,,,,,
0,38:06.7,0:17,60,0,38:06.8,1540931887,0.4554863,0.079383239,-0.117806529,0.129318237,-0.178115845,-0.967712402,42.29664612,28.14822388,-73.07095337,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,0.182464884,-0.010142915,-0.065379007,0.124710083,-0.183151245,-0.95513916,42.30825806,28.06747437,-73.38554382,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,-0.078405327,-0.151707238,-0.01194774,0.130264282,-0.174377441,-0.975311279,42.06221008,28.11643982,-73.24098206,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,-0.223676237,-0.346084175,-0.012152537,0.130218506,-0.143295288,-1.018722534,41.76722717,28.09701538,-73.25775146,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,-0.228215861,-0.496264356,-0.042320826,0.119674683,-0.105606079,-1.031814575,41.36781311,28.33125305,-73.27076721,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,-0.179199849,-0.437344847,-0.017630126,0.091064453,-0.101501465,-1.006790161,41.36781311,28.33125305,-73.27076721,,,,,,,,
0,38:06.7,0:17,60,0,38:06.9,1540931887,-0.089263034,-0.29437118,-0.013191968,0.069458008,-0.091369629,-0.991409302,41.24610901,28.35586548,-73.04231262,,,,,,,,
0,38:06.7,0:17,60,0,38:07.0,1540931887,0.01350489,-0.142696432,-0.051580637,0.047592163,-0.067764282,-0.977233887,41.09208679,28.54109192,-73.27793884,,,,,,,,
0,38:06.7,0:17,60,0,38:07.0,1540931887,0.079403746,0.1282107,-0.065183531,0.037979126,-0.076187134,-0.962982178,40.95420837,28.64599609,-73.28153992,,,,,,,,
0,38:06.7,0:17,60,0,38:07.0,1540931887,0.079403746,0.1282107,-0.065183531,0.034225464,-0.093276978,-0.958831787,41.13842773,28.60925293,-73.42901611,,,,,,,,
0,38:06.7,0:17,60,0,38:07.0,1540931887,0.009883257,0.1311226,-0.085509575,0.032104492,-0.104446411,-0.952850342,41.02584839,28.24362183,-73.21456909,,,,,,,,
0,38:06.7,0:17,60,0,38:07.0,1540931887,-0.069360433,0.122015921,-0.052305016,0.032577515,-0.132232666,-0.979415894,41.02584839,28.24362183,-73.21456909,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,-0.153157063,0.077272684,-0.022355906,0.030670166,-0.125045776,-0.989486694,40.90853882,28.57792664,-73.05239868,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,-0.264591712,0.117194534,-0.000862598,0.019790649,-0.102386475,-1.007293701,41.07788086,28.62158203,-73.27571106,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,-0.264591712,0.117194534,-0.000862598,0.019790649,-0.102386475,-1.007293701,40.94703674,29.03645325,-73.03323364,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,-0.193941777,0.112279937,-0.023373766,0.008712769,-0.080123901,-1.034378052,41.07070923,29.01203918,-73.02742004,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,0.107920342,-0.008866196,-0.205642375,-0.045913696,-0.055480957,-1.004348755,40.98962402,28.79496765,-73.03991699,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,0.107920342,-0.008866196,-0.205642375,-0.045913696,-0.055480957,-1.004348755,40.98962402,28.79496765,-73.03991699,,,,,,,,
0,38:06.7,0:17,60,0,38:07.1,1540931887,0.151028664,-0.035007253,-0.263511534,-0.052200317,-0.092819214,-0.941070557,40.72366333,28.61460876,-72.98301697,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.028411135,0.057535997,-0.254787285,-0.075302124,-0.167831421,-0.87487793,40.67718506,28.85569763,-73.44493103,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.028411135,0.057535997,-0.254787285,-0.075302124,-0.167831421,-0.87487793,40.42918396,28.90447998,-73.53466797,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.206296448,0.210488796,-0.209579593,-0.077545166,-0.192886353,-0.923751831,40.31253052,29.23886108,-73.29437256,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.190945987,0.281556315,-0.166661154,-0.057449341,-0.188613892,-0.972442627,40.35577393,28.99745178,-73.22296143,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.190945987,0.281556315,-0.166661154,-0.057449341,-0.188613892,-0.972442627,40.54193115,28.96087646,-73.13615417,,,,,,,,
0,38:06.7,0:17,60,0,38:07.2,1540931887,-0.005408348,0.288231262,-0.117437947,-0.021942139,-0.168334961,-1.043319702,40.54193115,28.96087646,-73.13615417,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,0.074106718,0.226837942,-0.102540757,-0.008834839,-0.169952393,-1.029098511,40.54129028,28.96081543,-73.2142334,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,0.074106718,0.226837942,-0.102540757,-0.008834839,-0.169952393,-1.029098511,40.65203857,29.01701355,-73.05000305,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,-0.019728964,0.009236375,-0.098503138,-0.009658813,-0.194030762,-0.964111328,40.31318665,29.23893738,-73.21627808,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,-0.113026687,-0.048193628,-0.118897892,-0.010818481,-0.195632935,-0.934356689,40.41629028,28.98509216,-73.37623596,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,-0.170595442,-0.007557252,-0.134896832,-0.020278931,-0.200027466,-0.930053711,40.19799805,28.87301636,-73.31420898,,,,,,,,
0,38:06.7,0:17,60,0,38:07.3,1540931887,-0.15084171,-0.031632228,-0.112443189,-0.005523682,-0.210723877,-0.976318359,40.19799805,28.87301636,-73.31420898,,,,,,,,
