SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ
0,40:06.4,0:27,60,0,40:06.4,1540932006,-0.13160916,-0.177579315,0.094048469,0.037780762,-0.056808472,-1.160232544,39.6882019,29.27848816,-75.74668884
0,40:06.4,0:27,60,0,40:06.4,1540932006,0.084376134,-0.104695787,0.012700882,0.000701904,-0.045227051,-1.119979858,39.62507629,29.29057312,-75.9058075
0,40:06.4,0:27,60,0,40:06.4,1540932006,0.15916036,-0.124681213,-0.037672278,0.01914978,-0.061462402,-1.099960327,39.35719299,29.11001587,-76.08322144
0,40:06.4,0:27,60,0,40:06.4,1540932006,0.161289824,-0.128916704,-0.065520421,0.028305054,-0.076583862,-1.06463623,39.35719299,29.11001587,-76.08322144
0,40:06.4,0:27,60,0,40:06.4,1540932006,0.1372508,-0.102795888,-0.048348624,0.037490845,-0.094985962,-1.040817261,39.50857544,28.92454529,-76.15994263
0,40:06.4,0:27,60,0,40:06.5,1540932006,0.106304336,-0.030052441,-0.042897134,0.036849976,-0.098953247,-1.009140015,39.24771118,29.05393982,-76.09124756
0,40:06.4,0:27,60,0,40:06.5,1540932006,0.095524659,0.058683021,-0.027793015,0.02746582,-0.104705811,-0.996429443,39.41331482,28.78797913,-76.17021179
0,40:06.4,0:27,60,0,40:06.5,1540932006,0.123505693,0.120023344,-0.017015469,0.023712158,-0.107437134,-1.004776001,39.35147095,28.80018616,-76.17312622
0,40:06.4,0:27,60,0,40:06.5,1540932007,0.238867174,0.163283466,-0.022344188,0.028717041,-0.107315063,-0.990386963,39.53192139,28.45381165,-76.17619324
0,40:06.4,0:27,60,0,40:06.5,1540932007,0.238867174,0.163283466,-0.022344188,0.028717041,-0.107315063,-0.990386963,39.53192139,28.45381165,-76.17619324
0,40:06.4,0:27,60,0,40:06.5,1540932007,0.192226967,0.238520697,-0.061862036,-0.026489258,-0.119338989,-0.925811768,39.33158875,28.57087708,-76.26080322
